date,asia_open,asia_high,asia_low,asia_close,asia_mid,asia_range,london_open,london_high,london_low,london_close,london_mid,london_range,transition_open,transition_high,transition_low,transition_close,ny_open,ny_high,ny_low,ny_close,asia_range_q33,asia_range_q66,asia_regime,london_sweep,london_mid_tolerance,london_mid_upper,london_mid_lower,transition_vs_london_mid,ny_open_vs_london_mid,variant,first_sweep_side,fail_flag,both_flag,median_penetration
2017-02-08 00:00:00-05:00,5179.0,5187.5,5178.7,5186.5,5183.1,8.800000000000182,5186.5,5193.2,5183.6,5187.7,5188.4,9.599999999999454,5187.6,5188.7,5176.7,5178.1,5179.0,5197.2,5169.0,5192.2,5.141000000000086,8.264000000000163,Expanded,High,2.3999999999998636,5190.799999999999,5186.0,Within,Below,Expanded|High|Within|Below,Low,1,1,9.500000000000455
2017-02-09 00:00:00-05:00,5192.6,5195.4,5190.4,5192.6,5192.9,5.0,5192.7,5198.4,5192.4,5195.9,5195.4,6.0,5196.1,5204.4,5194.6,5198.7,5198.7,5221.1,5194.6,5218.4,5.0,8.060000000000038,Normal,High,1.5,5196.9,5193.9,Within,Above,Normal|High|Within|Above,High,0,0,5.0
2017-02-10 00:00:00-05:00,5219.9,5225.1,5219.6,5224.4,5222.35,5.5,5224.4,5229.9,5218.6,5218.9,5224.25,11.299999999999272,5219.1,5224.4,5217.9,5220.4,5220.6,5227.4,5213.1,5226.1,5.039000000000025,7.8559999999999155,Normal,Both,2.824999999999818,5227.075,5221.425,Below,Below,Normal|Both|Below|Below,Low,0,0,1.5
2017-02-13 00:00:00-05:00,5233.5,5239.1,5232.6,5234.6,5235.85,6.5,5234.4,5236.1,5229.6,5230.4,5232.85,6.5,5230.6,5243.1,5230.1,5242.4,5242.6,5254.1,5240.6,5250.6,5.138000000000084,7.691999999999789,Normal,Low,1.625,5234.475,5231.225,Below,Above,Normal|Low|Below|Above,High,0,0,10.299999999999272
2017-02-14 00:00:00-05:00,5255.8,5259.0,5251.8,5253.3,5255.4,7.199999999999818,5253.5,5259.0,5252.1,5258.8,5255.55,6.899999999999636,5259.0,5259.8,5253.5,5255.8,5256.0,5258.0,5239.5,5256.5,5.237000000000145,7.6579999999996655,Normal,None,1.724999999999909,5257.275,5253.825000000001,Above,Within,Normal|None|Above|Within,Low,0,0,1.050000000000182
2017-02-15 00:00:00-05:00,5276.5,5284.5,5274.5,5279.8,5279.5,10.0,5279.8,5281.5,5272.3,5273.3,5276.9,9.199999999999818,5273.4,5277.2,5265.0,5268.0,5268.2,5289.5,5265.8,5282.9,5.324000000000161,7.843999999999907,Expanded,Low,2.2999999999999545,5279.2,5274.599999999999,Below,Below,Expanded|Low|Below|Below,Low,1,1,2.400000000000091
2017-02-16 00:00:00-05:00,5307.3,5312.4,5307.1,5311.4,5309.75,5.299999999999272,5311.0,5313.4,5305.9,5309.1,5309.65,7.5,5309.4,5310.1,5304.2,5306.5,5306.6,5316.7,5288.4,5297.5,5.299999999999682,7.689999999999782,Compressed,Both,1.875,5311.525,5307.775,Within,Below,Compressed|Both|Within|Below,Low,1,1,2.449999999999818
2017-02-17 00:00:00-05:00,5299.9,5302.9,5297.6,5298.6,5300.25,5.299999999999272,5298.4,5299.9,5287.1,5289.6,5293.5,12.799999999999272,5289.9,5296.1,5286.9,5294.6,5294.6,5310.6,5293.4,5304.9,5.299999999999272,7.655999999999659,Normal,Low,3.199999999999818,5296.7,5290.3,Below,Within,Normal|Low|Below|Within,High,0,0,3.25
2017-02-20 00:00:00-05:00,5325.4,5329.5,5325.1,5328.0,5327.3,4.399999999999636,5328.1,5345.5,5327.6,5331.2,5336.55,17.899999999999636,5331.2,5335.7,5328.9,5334.0,5333.4,5341.2,5327.2,5340.3,5.299999999999272,7.6219999999995345,Compressed,High,4.474999999999909,5341.025,5332.075000000001,Below,Within,Compressed|High|Below|Within,Low,0,0,0.4000000000005457
2017-02-21 00:00:00-05:00,5337.1,5339.8,5334.5,5335.6,5337.15,5.300000000000182,5335.5,5340.7,5331.7,5340.7,5336.2,9.0,5340.5,5340.7,5332.4,5333.1,5333.3,5352.7,5331.7,5339.2,5.299999999999272,7.5879999999995205,Normal,Both,2.25,5338.45,5333.95,Above,Below,Normal|Both|Above|Below,Low,1,1,
2017-02-22 00:00:00-05:00,5346.3,5352.1,5345.8,5349.3,5348.950000000001,6.300000000000182,5349.3,5353.6,5337.5,5338.6,5345.55,16.100000000000364,5338.4,5345.1,5337.3,5344.8,5344.6,5351.3,5336.3,5345.8,5.299999999999272,7.553999999999705,Normal,Both,4.025000000000091,5349.575000000001,5341.525,Below,Within,Normal|Both|Below|Within,Low,0,0,0.5499999999997272
2017-02-23 00:00:00-05:00,5348.9,5351.2,5347.2,5350.9,5349.2,4.0,5350.9,5355.7,5349.4,5352.7,5352.549999999999,6.300000000000182,5352.4,5361.0,5350.9,5359.1,5358.9,5359.2,5310.9,5324.2,5.299999999999272,7.519999999999891,Compressed,High,1.5750000000000455,5354.124999999999,5350.974999999999,Within,Above,Compressed|High|Within|Above,High,1,1,0.75
